epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2026.24,0.66056,0.71511,1.02854,0.908,0.85967,0.92335,0.81353,0.51284,0.61892,0.84643,0.0005941,0.0005941,0.0005941
43,2074.58,0.64904,0.68824,1.01918,0.92726,0.84304,0.92777,0.8161,0.49458,0.60974,0.829,0.0005842,0.0005842,0.0005842
44,2122.02,0.64873,0.67998,1.02471,0.92338,0.84024,0.92541,0.82848,0.46937,0.60062,0.81437,0.0005743,0.0005743,0.0005743
45,2169.28,0.64365,0.69523,1.01369,0.88981,0.87762,0.93042,0.82882,0.483,0.59841,0.82496,0.0005644,0.0005644,0.0005644
46,2217.21,0.65109,0.6852,1.0195,0.94366,0.80656,0.9269,0.83076,0.4672,0.60512,0.82751,0.0005545,0.0005545,0.0005545
47,2267.1,0.64012,0.68631,1.01176,0.92197,0.86819,0.93954,0.8341,0.4972,0.5792,0.83188,0.0005446,0.0005446,0.0005446
48,2315.66,0.64797,0.69959,1.01808,0.89366,0.87817,0.9354,0.83609,0.46929,0.58417,0.82492,0.0005347,0.0005347,0.0005347
49,2363.85,0.62692,0.67704,1.01153,0.89423,0.89038,0.94016,0.84281,0.48257,0.56039,0.83498,0.0005248,0.0005248,0.0005248
50,2413.25,0.64234,0.68766,1.017,0.90056,0.87593,0.93892,0.84451,0.46865,0.56085,0.81921,0.0005149,0.0005149,0.0005149
51,2463.15,0.63681,0.66677,1.00622,0.9034,0.88883,0.93576,0.84422,0.47516,0.58827,0.81971,0.000505,0.000505,0.000505
52,2511.42,0.63638,0.68796,1.00821,0.87311,0.88049,0.9298,0.82362,0.50249,0.57911,0.8334,0.0004951,0.0004951,0.0004951
53,2558.64,0.6271,0.66704,1.01209,0.90284,0.87756,0.93607,0.8416,0.46162,0.56111,0.81916,0.0004852,0.0004852,0.0004852
54,2607.73,0.63083,0.65042,1.00698,0.89749,0.8869,0.94369,0.84795,0.46132,0.55725,0.81664,0.0004753,0.0004753,0.0004753
55,2655.87,0.61557,0.65234,1.00005,0.89011,0.87861,0.94367,0.83989,0.47477,0.57641,0.82819,0.0004654,0.0004654,0.0004654
56,2703.09,0.60513,0.64656,0.99761,0.90028,0.88322,0.93455,0.83777,0.47033,0.56438,0.81645,0.0004555,0.0004555,0.0004555
57,2750.93,0.61621,0.65452,1.00601,0.91651,0.8663,0.9356,0.84004,0.46774,0.56599,0.81215,0.0004456,0.0004456,0.0004456
58,2799.99,0.59611,0.64388,1.00147,0.89102,0.87992,0.93862,0.83844,0.45826,0.58091,0.81861,0.0004357,0.0004357,0.0004357
59,2847.67,0.59528,0.60776,0.99661,0.92846,0.8651,0.93872,0.84296,0.45968,0.57943,0.81398,0.0004258,0.0004258,0.0004258
60,2894.7,0.59607,0.63329,1.00223,0.91118,0.88117,0.93309,0.84208,0.46117,0.5751,0.80709,0.0004159,0.0004159,0.0004159
61,2942.33,0.59545,0.628,0.99234,0.89957,0.88723,0.94277,0.83889,0.47205,0.56654,0.82075,0.000406,0.000406,0.000406
